relative_time,AccX,AccY,AccZ
12.007,0.1160087585449218,-2.1118084716796877,9.554481353759764
12.073,-0.1085243225097656,-2.1535716247558594,9.891280975341797
12.14,-0.1564247131347656,-1.9249969482421876,9.376052398681642
12.207,0.1158590698242187,-2.0636087036132813,9.96223342895508
12.274,0.0163160705566406,-2.226320343017578,9.807754669189451
12.34,-0.0699046325683593,-2.1641995239257814,9.9249609375
12.407,-0.2222877502441406,-1.9702029418945313,9.788594512939454
12.474,-0.1839674377441406,-2.095941467285156,9.460177459716798
12.54,0.1172062683105468,-1.8230589294433597,9.408235473632812
12.607,-0.1336720275878906,-2.088307342529297,9.731263732910156
12.674,-0.0383203125,-2.315834197998047,9.951605529785155
12.74,0.0627195739746093,-1.691931610107422,9.593999176025392
12.807,-0.0714015197753906,-2.305056610107422,9.53502182006836
12.874,0.2677931213378906,-1.8224601745605469,9.692045288085938
12.941,-0.0510438537597656,-2.0219952392578127,9.649533691406251
13.007,-0.3141966247558594,-2.158810729980469,10.022408294677737
13.074,-0.30895751953125,-2.206711120605469,9.737850036621094
13.14,0.4180805969238281,-1.6374449157714843,9.32336196899414
13.207,0.4959187316894531,-2.115550689697266,9.80565902709961
13.274,0.1725910949707031,-1.9814295959472656,9.625284118652344
13.34,0.0859213256835937,-1.8649717712402345,9.59923828125
13.407,-0.0245489501953125,-2.542163543701172,10.048903198242188
13.473,0.2848576354980469,-1.8146763610839844,9.443412322998048
13.54,0.1781295776367187,-2.128872985839844,9.62034439086914
13.607,0.3106040954589844,-1.6910334777832032,9.445507965087891
13.673,0.027542724609375,-1.4506333923339845,9.862840118408204
13.74,-0.032332763671875,-2.0878582763671876,9.813293151855468
13.807,0.3179388427734375,-1.910028076171875,9.43832290649414
13.874,-0.3894900512695313,-1.8758990478515627,9.36018539428711
13.94,0.1531315612792969,-1.6063096618652344,9.362730102539064
14.007,0.3950285339355469,-2.0062779235839843,9.933193817138672
14.074,-0.1187031555175781,-1.8290464782714844,9.569599914550782
14.14,-0.2213896179199219,-1.8735040283203128,9.674831085205078
14.207,0.1052311706542968,-2.2378463745117188,9.788594512939454
14.274,0.15088623046875,-2.162852325439453,9.494605865478515
14.34,0.009580078125,-1.9992425537109375,9.563462677001954
14.407,-0.2148033142089843,-1.7308506774902344,9.423204345703123
14.474,0.271834716796875,-2.138902130126953,9.850565643310548
14.54,0.3294648742675781,-1.9761904907226564,9.411079559326172
14.607,0.2917433166503906,-1.83218994140625,9.665700073242188
14.674,0.116158447265625,-2.0082238769531253,9.82047821044922
14.741,0.0740959167480468,-1.9766395568847657,9.703421630859376
14.807,0.1559756469726562,-1.451232147216797,9.134903869628909
14.874,-0.0764909362792968,-2.061812438964844,9.63037353515625
14.974,0.3176394653320312,-1.8726058959960936,9.439071350097656
15.007,0.2579136657714844,-1.940564575195313,9.613009643554689
15.074,-0.0303868103027343,-2.1842578125000003,9.827962646484377
15.14,0.2493814086914062,-1.8538948059082032,9.808952178955078
15.207,0.0238005065917968,-2.2842498779296876,9.807604980468753
15.274,0.5063969421386719,-1.80823974609375,9.10391830444336
15.34,0.681233367919922,-2.091899871826172,9.675280151367188
15.407,-0.201181640625,-2.6030868530273437,9.862091674804688
15.474,0.3213816833496093,-1.623523864746094,9.487420806884764
15.54,-0.4355941772460938,-2.176923065185547,9.550140380859377
15.607,0.0717008972167968,-2.272574157714844,9.639354858398438
15.674,0.2477348327636719,-2.2064117431640624,9.827812957763673
15.74,0.075443115234375,-2.2231768798828124,9.760003967285156
15.807,-0.0543370056152343,-1.676513671875,9.511670379638671
15.874,-0.3001258850097656,-1.9654129028320313,9.6423486328125
15.94,0.5490582275390625,-1.8693127441406252,9.705367584228515
16.007,0.417930908203125,-1.9808308410644533,9.348359985351562
16.074,0.2523751831054687,-2.0984861755371096,9.668843536376954
16.14,-0.1326242065429687,-1.8461109924316408,9.57917999267578
16.207,0.0631686401367187,-1.9740948486328127,9.553882598876951
16.274,0.0375718688964843,-2.296674041748047,10.0255517578125
16.34,0.0616717529296875,-1.9320323181152343,9.36497543334961
16.407,0.0471519470214843,-1.99026123046875,9.487271118164063
16.474,0.0547860717773437,-2.393672332763672,9.88753875732422
16.54,0.1466949462890625,-1.8281483459472656,9.618099060058594
16.607,-0.1103205871582031,-1.847607879638672,9.511371002197269
16.673,0.1275347900390625,-1.8911672973632816,9.51196975708008
16.741,0.0113763427734375,-1.9844233703613283,9.623787231445313
16.808,-0.0038919067382812,-2.059567108154297,9.550140380859377
16.874,0.0160166931152343,-1.64537841796875,9.546248474121096
16.941,-0.2151026916503906,-2.285597076416016,9.800419921875
17.008,0.1984872436523437,-1.8266514587402345,9.4794873046875
17.074,0.1239422607421875,-1.8300942993164064,9.718091125488282
17.14,-0.4974156188964844,-1.9214044189453128,9.47185317993164
17.207,0.3870950317382812,-1.7235159301757814,9.50059341430664
17.274,0.0679586791992187,-2.218835906982422,9.735604705810548
17.34,0.1863624572753906,-1.954485626220703,9.592352600097655
17.407,-0.1321751403808593,-1.9273919677734377,9.68351303100586
17.474,-0.1386117553710937,-2.079775085449219,9.727222137451172
17.54,0.4933740234375,-2.0121157836914065,9.876761169433594
17.607,-0.0345780944824218,-1.893262939453125,9.38413558959961
17.673,-0.0327818298339843,-1.850002899169922,9.680968322753907
17.74,0.2103126525878906,-2.003583526611328,9.701325988769533
17.807,-0.01197509765625,-2.0005897521972655,9.70701416015625
17.874,-0.3746708679199219,-1.9118243408203128,9.720486145019532
17.94,-0.0558338928222656,-1.9764898681640624,9.57094711303711
18.007,0.6336323547363282,-1.7744100952148438,9.126521301269532
18.074,0.1178050231933593,-1.9118243408203128,9.677375793457031
18.14,-0.5111869812011719,-2.1576132202148437,9.538614349365234
18.207,0.3050656127929688,-2.1507275390625,9.552535400390626
18.274,-0.3391946411132813,-2.1465362548828124,9.589957580566407
18.34,0.1043330383300781,-2.406545562744141,9.554331665039063
18.407,0.6233038330078126,-1.8687139892578128,9.504635009765623
18.473,-0.9530680847167968,-2.6015899658203128,9.967023468017578
18.54,0.2692900085449219,-1.799258422851563,9.435329132080078
18.607,-0.4144880676269531,-2.3728656005859374,9.744735717773438
18.674,0.0507444763183593,-2.0935464477539063,9.811197509765623
18.74,-0.243094482421875,-2.1451890563964846,9.544003143310547
18.807,-0.3272195434570312,-2.1704864501953125,9.452393646240235
18.874,0.0001496887207031,-2.0383113098144534,9.369166717529298
18.94,-0.4372407531738281,-2.168989562988281,9.148675231933597
19.007,-0.1881587219238281,-2.211650848388672,9.525591430664065
19.074,-0.6830296325683594,-2.188748474121094,9.728419647216798
19.14,0.0229023742675781,-2.0916004943847657,9.39236846923828
19.206,-0.1158590698242187,-2.37825439453125,9.607770538330078
19.274,-0.6876699829101562,-2.1276754760742187,9.349856872558597
19.34,0.26584716796875,-2.0082238769531253,9.755662994384766
19.407,-0.1007405090332031,-2.608325958251953,9.83155517578125
19.473,-0.5484594726562501,-1.950593719482422,9.52169952392578
19.54,-0.1841171264648437,-2.1920416259765627,9.62992446899414
19.607,-0.0381706237792968,-2.032323760986328,9.563612365722657
19.674,-0.5313949584960938,-2.286794586181641,9.598639526367188
19.74,-0.2956352233886719,-2.1465362548828124,9.780511322021486
19.807,-0.4022135925292969,-2.195185089111328,9.506880340576172
19.874,-0.1450483703613281,-2.0845651245117187,9.332942047119142
19.974,-0.3302133178710937,-2.1911434936523437,9.384734344482425
20.007,-0.4408332824707031,-2.3198757934570313,9.99636245727539
20.074,-0.1543290710449218,-2.1176463317871095,9.662556610107425
20.14,-0.1883084106445312,-2.295177154541016,9.632469177246094
20.207,-0.5185217285156251,-2.182611236572266,9.523196411132814
20.274,-0.1172062683105468,-1.982926483154297,9.622440032958984
20.34,-0.4673281860351563,-2.3284080505371096,9.68830307006836
20.406,0.0588276672363281,-2.0511845397949218,9.430988159179687
20.474,-0.2460882568359375,-2.1872515869140625,9.55897201538086
20.54,-0.4728666687011719,-2.1453387451171877,9.706415405273438
20.607,-0.3683839416503906,-2.029928741455078,9.815388793945312
20.674,0.0260458374023437,-2.1974304199218753,9.82002914428711
20.74,-0.1154100036621093,-2.126627655029297,9.385482788085938
20.807,0.1062789916992187,-1.7797988891601564,9.455088043212893
20.874,-0.1228944396972656,-2.189347229003906,9.762249298095703
20.94,0.0125738525390625,-1.9402651977539065,9.694290618896485
21.007,0.0330812072753906,-1.913321228027344,9.670340423583983
21.074,0.310155029296875,-2.0579205322265626,9.733658752441409
21.14,0.281414794921875,-1.9226019287109375,9.546248474121096
